Hashtags,Video ID,create_time,username ,region,video_description,like_count,comment_count,share_count,view_count ,Comments
#RussianUkrainianWar,7212700627690982662,2023-3-20,@metrouk,Kazakhstan,"Warmonger Vladimir Putin had a dose of reality while meeting people during a visit to a bombed out city of Ukraine.

Just days after an international arrest warrant was issued, he made a surprise visit to Mariupol, which has been occupied by the invaders since May 2022.

TV footage shows him out and about meeting supposedly grateful Ukrainians, but the focus has turned on a woman who was heard shouting: ‘It’s all lies, it’s all just for show.’

The heckling, which seemed to have come from a nearby building, prompted Mr Putin’s security team to begin frantically looking around trying to find the source of the disturbance.",51100,498,438,,1. Look like a body double. I don’t think that’s Putin 2.  that's not putin body double 100% 3.  That's not putin ..he's moving his right arm too much.. 4.  No thats fake putin has cancer and hiding in a bunker also russia lost 500 million men in bakhmut slava 🇺🇦🇺🇦🇺🇲🇺🇲🇺🇲🇺🇲😎 5.  He travelled to Mariupol to show the west that issuing an arrest warrant doesn’t scare him and he still does what he wants
#RussianUkrainianWar,7322308382344400171,1-9,@army_hkd,Kazakhstan,Russian soldiers retreated #army #military #russia🇷🇺 #ukraine🇺🇦 #war #ukrainewar #ukrainevsrussia #battlefield #militarytiktok,13800,453,84,,1. Hes had enough 2.  Sure 3.  :TRANSLATION PLEASE 4.  Peace. 5.  від смерті не втечеш!
#RussianUkrainianWar,7218944879618051333,2023-4-6,@rage_milit4ry,Kazakhstan,Sad moment #military #respect #ukraine🇺🇦 #ukrainevsrussia #fakegun⚠️ #ww3,78200,10088,818,,1. bro's eyes has seen something serious 2.  the 1000 yard stare... 3.  the 1000 yard stare... 4.  1000 yard stare.. hurts to see him like that. 5.  1000 yard stare.. hurts to see him like that.
#RussianUkrainianWar,7274987645279669536,2023-9-4,@you_better_then_them,Kazakhstan,#russia🇷🇺 #ukraine🇺🇦 #war #dance #nato #zyxcba,105900,2169,7904,,1. God bless Mother Russia and President Putin 2.  bro fr hit the Russian griddy 💀 3.  Both my grandpa’s were in the red army 4.  Has cool dance moves 5.  Peace
#RussianUkrainianWar,7197122272136580358,2023-2-6,@welcometoplanetokvibes,Kazakhstan,Wiping out russian spetsnaz team in Ukraine #war #ukraine🇺🇦 #russian #specialforces,337000,10500,7677,,1. Really odd how every ukranian team manages to fight spetsnaz💀 2.  There’s no Spetsnaz it’s just regular soldiers 3.  I bet they dont even know what Spetsnaz is 4.  easy on the ammo bud it's expensive 5.  easy on the ammo bud it's expensive
#RussianUkrainianWar,7206450292102040874,2023-3-3,@militarycentralnews2,Kazakhstan,#russiaukrainewar🇺🇦🇷🇺 #ukraine🇺🇦 #russia🇷🇺 #ukrainecombatfootage #ukrainerussiaconflict,365200,4918,15800,,1. Destroying the forest 🌳 doesn’t win wars 😂😂 2.  Damn. Imagine being on the receiving end. 3. now thats some fire power 💪 4.  Does this hurt the forest? 5.  Slava Ukraine 🇬🇪🇺🇦
#RussianUkrainianWar,7301441333644889374,2023-11-14,@60minutes,Kazakhstan,"Never-before-broadcast footage shows Russians looting from a Ukrainian museum. Unable to find the ancient gold ornaments worth millions they were looking for, the Russians kidnapped the museum director. #ukraine #ukrainianmuseum #ukrainianart",8243,713,126,,1. SLAVA UKRAINE FUCK RUSSIA 2.  PALESTINE AND BELARUS 3.  Free Palestine 4.  Reminds me of Israeli soldiers in Palestine 5.  but with way more brutality. 6.  Death to Putin 7.  Putin is a coward and war criminal
#RussianWarCrimes,7083568738515029294,2022-4-6,@bloombergoriginals,Kazakhstan,"Many are calling for #Putin to be charged with war crimes for #Russia's actions in #Ukraine, but what exactly are war crimes? #WorldNews #UkraineWar #RussiaUkraine",2150,855,49,,"1. Can’t blame Russia for what NATO initiated 2.  Please, start first with the father of propaganda. 3.  Guantanamo base isn't prove of war crimes? 😳😳 4.  At the end of the day these charges is simply theatre for public comfort unfortunately 🤷‍♂️ 5.  who will charge the president?????"
#RussianWarCrimes,7090582449696165163,2022-4-25,@bradshear,Kazakhstan,This is troubling! Any thoughts? #learnontiktok #law #letsroll #ukraine #ukraine🇺🇦 #ukrainewar #didyouknow #learn #law #lawyer #nftlawyer,31200,881,36,,1. Yes killing prisoners of war is a violation I believe 2.  BOTH SIDES HAVE BEEN COMMITTING WAR CRIMES YALL SEE IT RIGHT 3.  y'all acting like there wasn't Ukrainian soliders calling relatives doing the same thing 💀 4.  ukraine has done some things as well. 5.  bro ukraine has been doing this since the start
#RussianWarCrimes,7083525486340574507,2022-4-6,@npr,Kazakhstan,"Images coming from Bucha, located in the Kyiv region, have shocked the world in recent days and heightened concerns that Russian soldiers are committing war crimes in Ukraine. #ukraine. #NPR #fyp",27200,939,186,,"1. Ukrine didn’t retook! Come on! Russia finished operations there 2.  tell the truths 3.  I love how the Russians say it was staged
Right.... 4.  he autocities being committed in Ukraine and Yemen are heart breaking. Thank you for showing us 🙏🏼💔 5.  Oh so you are requested by Ukraine. Interesting 6.  How do you even begin to clean this up. 💔"
