Hashtags,Video ID,create_time,username,region,video_description,like_count,comment_count,share_count,view_count,Comments,Sentiments,Majority Category,Other Languages than English,Sentiment of other Language,Description Sentiments,Description_comment_match,Video_Sentiments_Inferred
#RussianUkrainianWar,7212700627690982662,2023-3-20,@metrouk,Kazakhstan,"Warmonger Vladimir Putin had a dose of reality while meeting people during a visit to a bombed out city of Ukraine.

Just days after an international arrest warrant was issued, he made a surprise visit to Mariupol, which has been occupied by the invaders since May 2022.

TV footage shows him out and about meeting supposedly grateful Ukrainians, but the focus has turned on a woman who was heard shouting: ‘It’s all lies, it’s all just for show.’

The heckling, which seemed to have come from a nearby building, prompted Mr Putin’s security team to begin frantically looking around trying to find the source of the disturbance.",51100,498,438,,1. Look like a body double. I don’t think that’s Putin 2.  that's not putin body double 100% 3.  That's not putin ..he's moving his right arm too much.. 4.  No thats fake putin has cancer and hiding in a bunker also russia lost 500 million men in bakhmut slava 🇺🇦🇺🇦🇺🇲🇺🇲🇺🇲🇺🇲😎 5.  He travelled to Mariupol to show the west that issuing an arrest warrant doesn’t scare him and he still does what he wants,"1) Inclined towards Russia
2) Inclined towards Russia
3) Inclined towards Russia
4) Inclined towards Ukraine
5) Inclined towards Russia",inclined towards russia,,,"Inclined towards Ukraine
",unmatched,Opposite Sentiments (Ukraine/Russia)
#RussianUkrainianWar,7322308382344400171,1-9,@army_hkd,Kazakhstan,Russian soldiers retreated #army #military #russia🇷🇺 #ukraine🇺🇦 #war #ukrainewar #ukrainevsrussia #battlefield #militarytiktok,13800,453,84,,1. Hes had enough 2.  Sure 3.  :TRANSLATION PLEASE 4.  Peace. 5.  від смерті не втечеш!,"1) Inclined towards Ukraine
2) Neutral Sentiment
3) Unrelated/Cannot infer sentiment towards war
4) Inclined towards Peace
5) Inclined towards Ukraine",inclined towards ukraine,5. від смерті не втечеш!,5) Inclined towards Ukraine,"Inclined towards Ukraine 
",matched,Sentiment Matches: inclined towards ukraine
#RussianUkrainianWar,7218944879618051333,2023-4-6,@rage_milit4ry,Kazakhstan,Sad moment #military #respect #ukraine🇺🇦 #ukrainevsrussia #fakegun⚠️ #ww3,78200,10088,818,,1. bro's eyes has seen something serious 2.  the 1000 yard stare... 3.  the 1000 yard stare... 4.  1000 yard stare.. hurts to see him like that. 5.  1000 yard stare.. hurts to see him like that.,"1) Neutral Sentiment
2) Neutral Sentiment
3) Neutral Sentiment
4) Neutral Sentiment
5) Neutral Sentiment",neutral sentiment,,,Inclined towards Ukraine,unmatched,Opposite Sentiments
#RussianUkrainianWar,7274987645279669536,2023-9-4,@you_better_then_them,Kazakhstan,#russia🇷🇺 #ukraine🇺🇦 #war #dance #nato #zyxcba,105900,2169,7904,,1. God bless Mother Russia and President Putin 2.  bro fr hit the Russian griddy 💀 3.  Both my grandpa’s were in the red army 4.  Has cool dance moves 5.  Peace,"1) Inclined towards Russia
2) Inclined towards Russia
3) Inclined towards Russia
4) Neutral Sentiment
5) Inclined towards Peace",inclined towards russia,,,Neutral Sentiment,unmatched,inclined towards russia
#RussianUkrainianWar,7197122272136580358,2023-2-6,@welcometoplanetokvibes,Kazakhstan,Wiping out russian spetsnaz team in Ukraine #war #ukraine🇺🇦 #russian #specialforces,337000,10500,7677,,1. Really odd how every ukranian team manages to fight spetsnaz💀 2.  There’s no Spetsnaz it’s just regular soldiers 3.  I bet they dont even know what Spetsnaz is 4.  easy on the ammo bud it's expensive 5.  easy on the ammo bud it's expensive,"1) Inclined towards Ukraine
2) Neutral Sentiment
3) Inclined towards Ukraine
4) Neutral Sentiment
5) Neutral Sentiment",neutral sentiment,,,Inclined towards Ukraine,unmatched,Opposite Sentiments
#RussianUkrainianWar,7206450292102040874,2023-3-3,@militarycentralnews2,Kazakhstan,#russiaukrainewar🇺🇦🇷🇺 #ukraine🇺🇦 #russia🇷🇺 #ukrainecombatfootage #ukrainerussiaconflict,365200,4918,15800,,1. Destroying the forest 🌳 doesn’t win wars 😂😂 2.  Damn. Imagine being on the receiving end. 3. now thats some fire power 💪 4.  Does this hurt the forest? 5.  Slava Ukraine 🇬🇪🇺🇦,"1) Inclined towards Russia
2) Inclined towards Peace
3) Inclined towards Ukraine
4) Neutral Sentiment
5) Inclined towards Ukraine",inclined towards ukraine,,,Inclined towards Ukraine,matched,Sentiment Matches: inclined towards ukraine
#RussianUkrainianWar,7301441333644889374,2023-11-14,@60minutes,Kazakhstan,"Never-before-broadcast footage shows Russians looting from a Ukrainian museum. Unable to find the ancient gold ornaments worth millions they were looking for, the Russians kidnapped the museum director. #ukraine #ukrainianmuseum #ukrainianart",8243,713,126,,1. SLAVA UKRAINE FUCK RUSSIA 2.  PALESTINE AND BELARUS 3.  Free Palestine 4.  Reminds me of Israeli soldiers in Palestine 5.  but with way more brutality. 6.  Death to Putin 7.  Putin is a coward and war criminal,"1) Inclined towards Ukraine
2) Unrelated/Cannot infer sentiment towards war
3) Inclined towards Peace
4) Unrelated/Cannot infer sentiment towards war
5) Unrelated/Cannot infer sentiment towards war
6) Inclined towards Ukraine
7) Inclined towards Ukraine",inclined towards ukraine,,,Inclined towards Ukraine,matched,Sentiment Matches: inclined towards ukraine
#RussianWarCrimes,7083568738515029294,2022-4-6,@bloombergoriginals,Kazakhstan,"Many are calling for #Putin to be charged with war crimes for #Russia's actions in #Ukraine, but what exactly are war crimes? #WorldNews #UkraineWar #RussiaUkraine",2150,855,49,,"1. Can’t blame Russia for what NATO initiated 2.  Please, start first with the father of propaganda. 3.  Guantanamo base isn't prove of war crimes? 😳😳 4.  At the end of the day these charges is simply theatre for public comfort unfortunately 🤷‍♂️ 5.  who will charge the president?????","1) Inclined towards Ukraine
2) Inclined towards Ukraine
3) Neutral Sentiment
4) Inclined towards Ukraine
5) Inclined towards Ukraine",inclined towards ukraine,,,Inclined towards Ukraine,matched,Sentiment Matches: inclined towards ukraine
#RussianWarCrimes,7090582449696165163,2022-4-25,@bradshear,Kazakhstan,This is troubling! Any thoughts? #learnontiktok #law #letsroll #ukraine #ukraine🇺🇦 #ukrainewar #didyouknow #learn #law #lawyer #nftlawyer,31200,881,36,,1. Yes killing prisoners of war is a violation I believe 2.  BOTH SIDES HAVE BEEN COMMITTING WAR CRIMES YALL SEE IT RIGHT 3.  y'all acting like there wasn't Ukrainian soliders calling relatives doing the same thing 💀 4.  ukraine has done some things as well. 5.  bro ukraine has been doing this since the start,"1) Neutral Sentiment 
2) Neutral Sentiment 
3) Inclined towards Ukraine 
4) Inclined towards Ukraine 
5) Inclined towards Ukraine",inclined towards ukraine,,,Inclined towards Ukraine,matched,Sentiment Matches: inclined towards ukraine
#RussianWarCrimes,7083525486340574507,2022-4-6,@npr,Kazakhstan,"Images coming from Bucha, located in the Kyiv region, have shocked the world in recent days and heightened concerns that Russian soldiers are committing war crimes in Ukraine. #ukraine. #NPR #fyp",27200,939,186,,"1. Ukrine didn’t retook! Come on! Russia finished operations there 2.  tell the truths 3.  I love how the Russians say it was staged
Right.... 4.  he autocities being committed in Ukraine and Yemen are heart breaking. Thank you for showing us 🙏🏼💔 5.  Oh so you are requested by Ukraine. Interesting 6.  How do you even begin to clean this up. 💔","1. Inclined towards Russia
2. Neutral Sentiment
3. Inclined towards Russia
4. Inclined towards Peace
5. Inclined towards Ukraine
6. Neutral Sentiment",inclined towards russia,,,Inclined towards Ukraine,unmatched,Opposite Sentiments (Ukraine/Russia)
#Ukraineattack,7165596921866865962,2022-11-13,@prestonstew,Kazakhstan,Helicopter attack in Ukraine,131500,591,221,,"1. The good old ""to whom it may concern"" tactics. 2.  😂😂Its always Ukraine video popping in my fyp and they winning 😅 3.   As if Ukraine had a couple of those. The only flying craft left there has never seen an enemy 4.  Russia not just finishing this up tells up one thing; the WEF wants casualties.","1) Neutral Sentiment
2) Inclined towards Ukraine
3) Inclined towards Russia
4) Inclined towards Peace",mixed sentiments,,,Inclined towards Ukraine,unmatched,Mixed Sentiments
#Ukraineattack,7333354146717863214,2-8,@united24_media,Kazakhstan,Only together we can stop the production of any Russian missiles! #zircon#misisle#ukraine#kyiv,381,25,2,,"1. Haha you're funny.. goofy said ""temporarily occupied territory"". Good one 😂😂😂😂 2.  Zirkon is just as hyped as Kinzhal which turned out to be an air-launched Iskander from 1983 🇷🇺🤪 3.  Idk after how the EU has treated this Tucker Carlsen interview I’m convinced there’s more to this war then simply Russia = bad and Ukraine = good 4.  I LOVE WAR 🤪 5.  Not the US problem. If the UN would like our help they can start writing checks we need that money here","1) Inclined towards Ukraine
2) Inclined towards Russia
3) Neutral Sentiment
5) Unrelated/Cannot infer sentiment towards war",neutral sentiment,,,Inclined towards Ukraine,unmatched,Opposite Sentiments
#Ukraineattack,7113961083789937966,2022-6-27,@cbsmornings,Kazakhstan,"Russia struck at least two residential buildings in Kyiv, marking the first attack on the Ukrainian capital in nearly three weeks. #news #ukraine #ukraine🇺🇦 #ukrainewar #kyiv",12000,1004,77,,1. Yes they’d spend million dollar missiles to kill a few innocent civilians (that makes complete economic sense) 2.  It wouldn’t matter if it hit an empty tank factory 3.  it will still be reported as a kindergarten 4.  hospital or school. 5.  Funny how the reporter is not wearing any protective gear and just looking casual 😂😂😂😂 6.     wow.. almost like Iraq and Palestine and Libya and Syria 7. if this is true then Azov military placed the civilians there just like they have been doing all this time,"1) Inclined towards Ukraine
2) Inclined towards Ukraine
3) Inclined towards Ukraine
4) Inclined towards Ukraine
5) Inclined towards Ukraine
6) Inclined towards Ukraine
7) Inclined towards Ukraine",inclined towards ukraine,,,Inclined towards Ukraine,matched,Sentiment Matches: inclined towards ukraine
#Ukraineattack,7340429539346402606,2023-11-23,@cbsnews,Kazakhstan,"CBS News' Charlie D'Agata was in Chasiv Yar, Ukraine, on Tuesday. Russian attacks have caused extensive damage and destruction there. On one wall of a heavily damaged building, there was an urgent message for U.S. policymakers from the beleaguered Ukrainian fighters. #news #Ukraine",769,73,5,,1. 🙏🙏🙏 2.  🥺🇺🇦 3.  Republicans are horrible people. The Ukrainians have fought hard and GOP failed again. 4.  Most of these anti Ukraine comments are from Russians 5.  stop war ..stop giving them our m9ney..corrupt media in the pockets of the corrupt government of us..we have needs here in america..we the people," 1) Inclined towards Peace
2) Inclined towards Ukraine
3) Inclined towards Ukraine
4) Inclined towards Russia
5) Neutral Sentiment",inclined towards ukraine,,,Inclined towards Ukraine,matched,Sentiment Matches: inclined towards ukraine
#Ukraineattack,7330625348058582318,2-1,@abcnews,Kazakhstan,Footage released by Ukraine's defense ministry shows an attack that it says sunk a Russian warship.,1003,91,66,,"1. Russia is so stupid 2.  Trash aim on Russias part Fr 3.  kind people. YEMEN DO NOT KILL.
THE SUBMARAINE ISREALIBTHEY CAPTURED HELPED THE MARINES OUT. LIFE IS RESPECTED NOT like bARBARIANS AMERICAN WEAPONS 4.  by the beginning of the weekend Russia will use their nuclear warfare 5.  Slava Ukrainian 🇺🇦🇺🇦🇺🇦🙏🙏🙏","1) Inclined towards Ukraine
2) Inclined towards Russia
3) Inclined towards Peace
4) Inclined towards Russia
5) Inclined towards Ukraine",mixed sentiments,,5.  Slava Ukrainian 🇺🇦🇺🇦🇺🇦🙏🙏🙏,"Inclined towards Ukraine
",unmatched,Mixed Sentiments
#UkraineRussia,7340705158390713643,2023- 12-26,@joeycontino2,Kazakhstan,2/28 Transnistria Appeals to Russia for Help #transnistria #transnistriaemoldova #moldova #ukraine #greenscreen,5174,387,63,,"1. How's your Ukranian gold digger wife Joey? 2.  Russia is a terrorist state no one want to acknowledge 3.  Putin is doing this Putin is a war criminal 4.  They want protection from NATO 5.  That's Serbian invention, in all Balkan wars of 1990is they was ""just protecting"" their people 6.  same recipe Russia is doing in former USSR countries.","1) Inclined towards Ukraine
2) Inclined towards Russia
3) Inclined towards Russia
4) Inclined towards Peace
5) Inclined towards Russia",inclined towards russia,,,Inclined towards Russia,matched,Sentiment Matches: inclined towards russia
#UkraineRussia,7337536966961089838,2-19,@cbseveningnews,Kazakhstan,"Ukrainian President Volodymyr Zelenskyy said Monday that a shortage of ammunition forced Ukraine to retreat from a city in the East, giving Russia an important victory. #news #ukraine #russia",4477,911,80,,1. Why doesn’t Zelensky want peace 2.  money money more money 3.  60 what 💀 tax payers money 4.  no more money 5.  60 billion eeiiii  6. we are hungry here in Africa oooh,"1) Inclined towards Ukraine
2) Inclined towards Russia
3) Inclined towards Russia
4) Inclined towards Russia
5) Inclined towards Russia
6) Unrelated/Cannot infer sentiment towards war",inclined towards russia,,,Inclined towards Ukraine,unmatched,Opposite Sentiments (Ukraine/Russia)
#UkraineRussia,7331430881539657002,2-3,@cnn,Kazakhstan,"An elderly woman in Kherson, Ukraine was treated by doctors after a Russian bomb exploded on her street. #CNN #News #Ukraine #Russia",2117,416,47,,1. CNN IS GRIEVING WHEN THEY TALK ABOUT UKRAINE & TOTALLY IGNORE THE GENOCIDE THAT IS TALKING PLACE IN PALESTINE. THEY PEOPLE ARE BORN EVIL. 2.  Russia❤️💪 3.  🥺😕😢 this has to stop! Poor people in Ukraine. May God protect them and their country! 4.  💔🇵🇸 5.  😞😞😞😞😞😞 6.  🙏🙏🙏 7.  cuando bamos a parar nu estra auto destrucción los umanos somos peores que un serviente en este mundo💖,"1) Inclined towards Ukraine
2) Inclined towards Russia
3) Inclined towards Peace
4) Inclined towards Peace
5) Neutral Sentiment
6) Inclined towards Peace
7) Inclined towards Peace",inclined towards peace,,7.  cuando bamos a parar nu estra auto destrucción los umanos somos peores que un serviente en este mundo💖,Inclined towards Ukraine,unmatched,Opposite Sentiments
#UkraineRussia,7339777831095848238,2023-10-14,@ane5ti,Kazakhstan,"President Putin is making it very clear without saying it explicitly, so I'll clarify

If the West proceeds to add Ukraine into NATO it will lead to nuclear war

Are you ready to die to defend Ukraine? I'm not. This needs to be de-escalated immediately.
#fyp #foryou #foryoupage #russia #ukraine #nato",22600,4916,2336,,"1. problem is putin not russia 2.  never heard Putin invading other countries and stole their resources. Just saying 😁 3.  First problem is that Putin broke promise not to invade Crimea 4.  Replace Putin. And surprise. Their is peace 5.  A lot of Europeans stand behind you Mr Putin.
Keep fighting against our so called ""leaders""","1) Inclined towards Russia
2) Inclined towards Russia
3) Inclined towards Ukraine
4) Inclined towards Peace
5) Inclined towards Russia",inclined towards russia,,,Inclined towards Russia,matched,Sentiment Matches: inclined towards russia
#UkraineRussiaWar,7144060335643757867,2022-9-16,@abcnews,Kazakhstan,"Tom Soufi Burridge reports from outside #Kharkiv, #Ukraine, where decomposing bodies of #Russian #soldiers have been left lying in the ground.",20300,415,133,,1. Anyone else have mixed emotions? 2.  But nobody in Russia Will even see this. Especially the parents. So sad. 3.  Those poor families not knowing anything about their soldiers… 💔💔💔 4.  So much death for no reason 5.  There no way there body decomposed that fast.,"1) Neutral Sentiment
2) Inclined towards Ukraine
3) Inclined towards Ukraine
4) Inclined towards Peace
5) Unrelated/Cannot infer sentiment towards war",inclined towards ukraine,,,Inclined towards Ukraine,matched,Sentiment Matches: inclined towards ukraine
#UkraineRussiaWar,7247971493106289963,2023-6-23,@russobotbeepboop,Kazakhstan,Shell shocked ukranian soldier woken up #pov #ukrainewarrussia #ukrainewarfootage #shellshock #ptsd #warzoneclips #russia🇷🇺 #armoredcombat #dead #tank #tos #ukraine #russia #💀,100800,721,537,,1. that guy behind him have a thousand yard stare 😳 2.  Someone please hug that man... I'm so sorry about this 3.  the way the other one is just staring in the back... 4.  I wanna hug all of these people so much. 5.  U can see the person in the back with a “thousand yard stare” 🥺,"1) Neutral Sentiment
2) Inclined towards Peace
3) Neutral Sentiment
4) Neutral Sentiment
5) Inclined towards Peace",neutral sentiment,,,Inclined towards Ukraine,unmatched,Opposite Sentiments
#UkraineRussiaWar,7237034667495427333,2023-5-25,@militer.79,Kazakhstan,And some say that there is no point in armor #wagnergroup🐺🇷🇺 #wagnergroup🤙🏼 #military #fyp #militaryworld #war #rusia🇷🇺 #ukraine🇺🇦,36400,225,746,,1. That’s not the actual bullet that hit him if that hits someone that’s leaving a fist size hole in you armour or no armour 2.  lucky escape 3.  That was all debunked 4.  but armor is still helpful lol 5.  URAAA.... 6.  Tiger Ring back end all flags how Job shield world this price and state shield lie 🥰🥰,"1) Inclined towards Russia
2) Inclined towards Peace
3) Inclined towards Ukraine
4) Inclined towards Peace
5) Inclined towards Russia
6) Unrelated/Cannot infer sentiment towards war",mixed sentiments,,,Inclined towards Russia,unmatched,Mixed Sentiments
#StopRussia,7340800529871768878,2023-12-11,@the.intel.pub,Kazakhstan,#greenscreen #fyp #macron #france #ukraine #nato #russia #putin #uk #ww3 #worldwar3 #breakingnews #thatintelguy #theintelpub,576,140,8,,"1. Whenever something happens I immediately come to your page to help the anxiety that will inevitably set in from all the doomsday videos. 2.  
you should make ""What-If"" scenario videos. They would do great! 3.  we already have troops in Ukraine 4.  I'm calling off Friday 5.  just in case 🍻 6.  he won't be this brave had France shares a common border with Russia like the Baltic and Nordic states! easy to be brave way out in the rear!","3) Neutral Sentiment
4) Inclined towards Peace
5) Neutral Sentiment
2) Neutral Sentiment
1) Neutral Sentiment
6) Inclined towards Russia",neutral sentiment,,,Inclined towards Ukraine,unmatched,Opposite Sentiments
#StopRussia,7305765584468315434,2023-11-26,@yulia_tymosha,Kazakhstan,"we, Ukrainians, have never really gotten the opportunity to fully process the collective trauma of the Holodomor. #ukraine #stoprussia",202,10,19,,"1. In one literature class my teacher mentioned ""My grandfather grows 10x more food than he needs"". He had many siblings but was the only one who 2.  t was done by the ✡️not Russians. so that would tbe the first step 3.  The thing people forget is the great soviet famine struck Russia as well. up to 3 million Russians died due to hunger between 1930-1933. 4.  ❤️🇺🇦♥️ 5.  The Ukrainian holocaust was how Ukrainians processed holdomorQuit being a pawn to the Jews and trying to divide us 6.  jewlenskiy and jewtin are not our brothers they are the enemies to the Slavic race and orthodox","1) Inclined towards Peace
2) Inclined towards Ukraine
3) Inclined towards Russia
4) Inclined towards Ukraine
5) Inclined towards Russia
6) Inclined towards Russia",inclined towards russia,,,Inclined towards Ukraine,unmatched,Opposite Sentiments (Ukraine/Russia)
#StopRussia,7334527056610331936,2-11,@willyoubenice,Kazakhstan,#ukraine #ukraina #bukovel #ivanofrankivsk #ukrainian #airforce #winter #snow #war #freedom #russiawillnotwin #allwillbeukraine #stoprussia #supportukraine,1034,108,8,,"1. That's a beautiful sight to see!! 🇺🇦💪🇺🇦 2.  Beautiful to see.
Super Hero's with wings. ❤️❤️❤️❤️🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦 3.  Beautiful!! 💪💪💙🇺🇦💛💪💪 4.  Brilliant Military of Ukraine 💛💙💛💙💛💙♥️♥️♥️♥️ 5.  heroes 🥰🥰🥰","1) Inclined towards Ukraine
2) Inclined towards Ukraine
3) Inclined towards Ukraine
4) Inclined towards Ukraine
5) Inclined towards Ukraine",inclined towards ukraine,,,Inclined towards Ukraine,matched,Sentiment Matches: inclined towards ukraine
#StopRussia,7290449213383511301,2023-10-16,@oaembr46,Kazakhstan,"💣 Углиб оборонних позицій російських окупантів на запорізькому напрямку продовжують просування штурмові підрозділи нашої бригади.
💥 «Наше основне завдання – штурмові дії. А найголовніше під час цих дій – зв’язок. Крім професійної підготовки бійців, звісно ж. Не буде зв’язку – не буде злагодженості, підтримки з неба і артилерії, – розповідає головний сержант аеромобільного підрозділу Дмитро «Дим». – А штурмові дії передбачають стрілецькі бої на коротких відстанях.
⚡️Нещодавно підрозділ Дмитра взяв у полон трьох окупантів біля Роботиного. Бійці штурмували посадку, закріпилися. А медик випередивши всіх, зненацька натрапив на ворожий бліндаж. Просто переплутав його з нашим, зайшовши туди як до себе додому. Там не розгубився й полонив російських зайд.
⚔️ «Перемога обов’язково буде. Робимо для цього все можливе. Але просив би всіх сильних і небайдужих чоловіків брати до рук зброю – так перемога буде набагато швидшою!»
🎬Про етапи підготовки, рецепти подолання страху та виконання поставлених завдань і розповідає головний сержант підрозділу.

📽Служба зв'язків з громадськістю 46 окремої аеромобільної бригади ДШВ ЗС України та Служба зв'язків з громадськістю Командування Десантно-штурмових військ Збройних Сил України

#stoprussia #ДШВ #ЗСУ #Завжди_Перші #UkrainianAirAssaultForces
#AirAssaultForces #WarInUkraine #RussianAggression
#BattleOfUkrainianAirAssaultForces",801,14,46,,1. Слава Героям!!!Слава ДШВ!!!Божого Захисту Вам!!!💙💛 2.  храни вас бог ребята 3.  сам з 46 бригады я не воин света но свами 4.  Ангела Охоронця вам життя здоровья сил терпения и благополучия вам.Бережить себе.З Богом. 5.  Господи Боже наш благаю тебе бережи наших захисників. 6.  хай вас Бог оберігає🤗,"1) Inclined towards Ukraine
2) Inclined towards Russia
3) Neutral Sentiment
4) Inclined towards Peace
5) Inclined towards Ukraine
6) Inclined towards Ukraine",inclined towards ukraine,1. Слава Героям!!!Слава ДШВ!!!Божого Захисту Вам!!!💙💛 2.  храни вас бог ребята 3.  сам з 46 бригады я не воин света но свами 4.  Ангела Охоронця вам життя здоровья сил терпения и благополучия вам.Бережить себе.З Богом. 5.  Господи Боже наш благаю тебе бережи наших захисників. 6.  хай вас Бог оберігає🤗,"1) Inclined towards Ukraine
2) Inclined towards Russia
3) Neutral Sentiment
4) Inclined towards Peace
5) Inclined towards Ukraine
6) Inclined towards Ukraine",Inclined towards Ukraine,matched,Sentiment Matches: inclined towards ukraine
#RussiaSanctions,7338900242336632106,2023-11-30,@philipdefranco,Kazakhstan,"US Banishes Russia To Shadow Realm #usa #europe

The US has banished Russia to the shadow realm. Today, they announced nearly 600 new sanctions on Russia for the murder of Navalny and for the continued invasion of Ukraine. The US is also looking at taking 300 billion dollars of Russia’s frozen assets and giving it directly to Ukraine. This was accompanied by a lot of new arrests and indictments of Russian businessmen. The new sanctions target Russia’s finances, defense industry, procurement, and those who help them evade sanctions. They have also placed sanctions and visa restrictions on over 300 officials for the kidnapping of Ukrainian children. The White House says this is just the beginning of their response to Navalny’s murder. The EU also joined in today’s Sanctions-palooza. With them sanctioning over a hundred foreign companies, including Chinese companies, for exporting dual-use goods to Russia. They also sanctioned a long list of Russian officials and in response, Russia banned more European Union officials from visiting Russia. Over 19,000 sanctions have been applied to Russia since the war began. It’s estimated that Ukraine has only a few weeks left before it’s out of ammunition as the Russian assault picks up speed. Russia is assisted by Iran and North Korea who are reported to have given Russia hundreds of new missiles. As cities continue to fall in Ukraine and Russia massacres whoever's left - The entire free world is now looking directly at Speaker Mike Johnson wondering how much Putin is paying him to not allow a vote on aid to Ukraine.",78400,3147,176,,1. Oh no not more sanctions 🤣We will never colonize the cosmos at this rate 2.  People in comments really don’t realize that the US can both support Ukraine and itself. There’s a certain chamber of congress that blocks everything 3.  why is Navalny so important? genuine question I haven't heard of him 4.  Why should the US keep giving Ukraine money if we have many problems at home ??? Just wondering…. ,"1) Neutral Sentiment
2) Inclined towards Ukraine
3) Neutral Sentiment
4) Inclined towards Russia   ",neutral sentiment,,,Inclined towards Ukraine,unmatched,Opposite Sentiments
#SaveUkarine,7304996044113235232,2023-11-24,@saveukraine888,Kazakhstan,#войнавукраине #рашапарашa🔴⚫🇺🇦🇺🇦🇺🇦 #пленныерусские #славаукраїні🇺🇦🇺🇦🇺🇦,33300,678,440,,1. 333 😉 2.  Need to make it as a tiktok sound!!!! 💯 3.  ХОРОШО СКАЗАЛ.👍👍👍 4.  Золоті слова 💙💛 5.  в плену все будут говорить что их заставили 6.  так как это единственный шанс спасти себе жизнь. Также будут говорить и солдаты всу 7.  Низкий поклон нашему воину за правдивые слова 🙏🙏🙏,"1. Inclined towards Russia
2. Neutral Sentiment
3. Inclined towards Ukraine
4. Inclined towards Ukraine
5. Inclined towards Russia
6. Inclined towards Russia
7. Inclined towards Ukraine",mixed sentiments,3.  ХОРОШО СКАЗАЛ.👍👍👍 4.  Золоті слова 💙💛 5.  в плену все будут говорить что их заставили 6.  так как это единственный шанс спасти себе жизнь. Также будут говорить и солдаты всу 7.  Низкий поклон нашему воину за правдивые слова 🙏🙏🙏,"3. Inclined towards Ukraine
4. Inclined towards Ukraine
5. Inclined towards Russia
6. Inclined towards Russia
7. Inclined towards Ukraine",Inclined towards Ukraine,unmatched,Mixed Sentiments
#SaveUkarine,7241654771482922245,2023-6-6,@fundacja.tosieuda,Kazakhstan,Bądźmy z Ukrainą 🙏🏻❤️‍🩹 #StopEcocideUkraine #war #russiaisaterrosistate,38700,1162,3376,,1. Dear people and animals  hold on 🙏🙏🙏🥺🥺🥺❤️‍🩹❤️‍🩹❤️‍🩹 2.  😪🙏🏽🙏🏽 3.  🥺🥺🥺🥺 4.  🥰🥰🥰🥰🥰🥰🥰 5.  😭😭🙏🙏🙏,"1) Inclined towards Peace
2) Inclined towards Peace
3) Inclined towards Peace
4) Inclined towards Peace
5) Inclined towards Peace",inclined towards peace,,,Inclined towards Ukraine,unmatched,Opposite Sentiments
