Hashtags,Video ID,create_time,username,region,video_description,Description Sentiments,like_count,comment_count,share_count,view_count,Comments,Comments_sentiments,Ukrainian_comments,Ukrainian_comments_sentiments,
#RussianUkrainianWar,7113951857055173894,2022-6-27,@thesun,Ukraine,Russian tank blown up while navigating Ukrainian minefield (🎥: Newsflash) #ukraine #russia #war #minefields #minefield #soldiers #tank #shocking,1) Inclined towards Ukraine,24100,400,282,,1. shame they don't show the tank afterwards 2. They got someone who records school fights 3. Bro they just show where the mine blew acting like the tank didn’t continue driving,"1) Neutral Sentiment
2) Neutral Sentiment
3) Neutral Sentiment",,,
#RussianUkrainianWar,7112399157410811178,2022-6-23,@hotdogwithdastick,Ukraine,"Russia-Ukraine war 2022 #war #warinukraine #russianinvasion #ukrainewar #ukraine #russiawar #ww2
",Inclined towards Ukraine,33100,645,84,,"1. ik they all thinking about their wives and kids at the moment 2. Not them 🥺 why the drones 3. 😭😭war...its so much for anyone to bear. those poor men, and all vets","1) Neutral Sentiment
2) Inclined towards Peace
3) Neutral Sentiment",,,
#RussianUkrainianWar,7207623171237891371,2023-3-6,@militarycentralnews2,Ukraine,#russiaukrainewar🇺🇦🇷🇺 #ukraine🇺🇦 #russia🇷🇺 #ukrainecombatfootage #ukrainerussiaconflict #russianinvasion,Inclined towards Ukraine,46300,753,1202,,1. Totally needless war killing so many innocent people? Why can’t we all as a world live in harmony 2. are they even hitting anything? 😅 3. 🇺🇦🇺🇦🇺🇦🇺🇦forever 4. beautiful team work great strategy for the area there in max damage least casualties 5. One is knocked let's push guys 6. peace on earth we are all brothers,"1) Inclined towards Peace
2) Unrelated/Cannot infer sentiment towards war
3) Inclined towards Ukraine
4) Inclined towards Russia
5) Inclined towards Peace
6) Inclined towards Peace",,,
#RussianUkrainianWar,7221240040939130155,2023-4-12,@philipdefranco,Ukraine,"Russia Releases Footage Of Them Committing War Crimes #russia #ukraine

Russia has released a video of them ___ a Ukrainian soldier. Russia continues to employ ___ tactics at every single level of this war from executing entire towns to beheading prisoners of war. Russia is currently the largest terror group on the planet and President Biden should join Senate Republicans in legally declaring them as such. Several countries have already recognized Russia’s war as genocide and the President declared it one last year.
",Inclined towards Ukraine,605300,15200,8098,,1. If we are holding Russia accountable we should also hold Ukraine and the US accountable to. They have also committed many war crimes. 2. I might have to step in ngl 3. Do they have no shame 4. The US has no place talking about war crimes lol 5. That’s it’s I’m telling mom 6. NO WAY 😨 like both sides dont do this 💀 7. Ukraine does the same thing 💀,"1) Neutral Sentiment
2) Neutral Sentiment
3) Neutral Sentiment
4) Inclined towards Russia
5) Neutral Sentiment
6) Inclined towards Peace
7) Inclined towards Russia",,,
#RussianUkrainianWar,7239369131814882566,2023-5-31,@petualang_z,Ukraine,🇷🇺 #russian #masukberandafypシ,2) Inclined towards Russia,81100,754,633,,1. love from afghanistan🇦🇫🇦🇫🇷🇺🇷🇺 2. ❤️Mother 🇷🇺  3.  ❤️Chechen fighters👍👍💪💪 4. what unit is that 5. im from Indonesia always support you don't worry ALLAH ALWAYS WITH YOU ALL💪💪💪 6. Grenade launcher? that's their version of the MK19 7. are those mines being launched? 8. Thats the automatic grenade launcher... nice. Wish I had me a few of those 😂,"1. Inclined towards Russia
2. Inclined towards Russia
3. Inclined towards Russia
4. Neutral Sentiment
5. Unrelated/Cannot infer sentiment towards war
6. Neutral Sentiment
7. Neutral Sentiment
8. Neutral Sentiment",,,
#PrayForUkraine,7072352968917470465,2022-3-7,@chantegeyser,Ukraine,Praying for 🇺🇦 🙏.... #fyp #prayingforukraine #chantegeyser #xyzbca #viral #foryourpage #acting,1) Inclined towards Ukraine,219400,4589,352,,1. this about Ukraine not u being early guys🤦🏽‍♂️ 2. This shouldn’t happen🥺 3. Praying for Ukraine 🇺🇦 please make one for Palestine 🇵🇸 as well 🥰 4. Wow this is the best one of these yet. Prayers for Ukraine. 🇺🇦 ❤️ 5. And nobody talks about Palestine or other countries.. 6. why does no one know the story. 7. why does no one know the story.,"1) Inclined towards Ukraine
2) Inclined towards Peace
3) Inclined towards Ukraine
4) Inclined towards Peace
5) Unrelated/Cannot infer sentiment towards war
6) Unrelated/Cannot infer sentiment towards war
7) Unrelated/Cannot infer sentiment towards war",,,
#PrayForUkraine,7207602330609437994,2023-3-6,@_garand_thumb_,Ukraine,🙏we pray for you. 🇺🇦 you all are so strong 🇺🇦 #ukraine #foryoupage #war #russia #fypシ゚viral #fyp #fypシ #fyppppppppppppppppppppppp,Inclined towards Ukraine,2567,237,34,,1. lets all pray for them 2. I don’t want the U.S. to get involved. Both sides are corrupt 3. Also go watch the interview with the American who defected to Russia 4. Pray for them 5. No bro y bro y this hurts me 6. Gods with you,"4) Inclined towards Peace
3) Neutral Sentiment
2) Inclined towards Russia
1) Inclined towards Ukraine
5) Unrelated/Cannot infer sentiment towards war
1) Inclined towards Ukraine",,,
#PrayForUkraine,7068814845554134318,2022-2-25,@nenaaida,Ukraine,#prayforukraine #letspray #prayerschallenge,Inclined towards Ukraine,1491,369,122,,1. Prayers for a swift end to this tragic event!! 2. Prayer's for all in Ukraine 3. So Sad 😢☹️🙏🏻 Ukraine ❤️your all in my Prayers 🙏🏻 God please End this Look over those Poor People & the innocent Children 🙏🏻❤️❤️❤️❤️❤️❤️ 4. Sendingprays 🥰🥰 5. They call them Ghosts 6.  the are the Spirit of Ukraine!!!🇺🇦🇺🇦🇺🇦 Slava Ukraine!!!🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦Long Live Ukraine!!!!!,"1) Inclined towards Peace
2) Inclined towards Ukraine
3) Inclined towards Ukraine
4) Inclined towards Peace
5) Inclined towards Ukraine
6) Inclined towards Ukraine",,,
#russianinvasion,7068404968402816303,2022-2-24,@jonbezrouch,Ukraine,Russia invaded Ukraine by air land and sea. #ukraine #russia #war,1) Inclined towards Ukraine,18200,342,693,,"1. I don’t understand why they are doing this. So many lives are going to be lost. 🥺 2. I 👀 humans will NEVER learn to just CO👏🏾EXIST👏🏾... Without someone trying to ""OUT DO THE OTHER"" ... I wish we could just let people be themselves 3. I don't believe they have any humanity when it comes to human life they only are concerned with power and control. I am so sorry,God Help Them 4. For what. For what?! 5. Are you okay? Are you able to get somewhere safe? 6. As a Ukrainian it hurts more than they could know","1) Neutral Sentiment
2) Neutral Sentiment
3) Inclined towards Ukraine
4) Neutral Sentiment
5) Neutral Sentiment
6) Inclined towards Ukraine",,,
#russianinvasion,7211159439502494981,2023-3-16,@chernobyl_guide,Ukraine,"🇺🇦 The Antonov An-225 Mriya was destroyed in the Battle of Antonov Airport during the 2022 Russian invasion of Ukraine 💔
More on my IG: lady.adventure_
#ukraine #ukraine🇺🇦 #war #ukrainewar #ukrainenews #ukrainetoday #standwithukraine #fyp #viral",1) Inclined towards Ukraine,178100,2301,3867,,1. Very Eery. Good to see they’ve stripped down the parts which are in a state of being reusable. Hope to see her back in the skies soon! 2. I am still curious why they did not move it knowing an attack was eminent. 3. I'm really sad 😢 4.  am an agveek and it’s sad also for war its sad 😞 5. i’m screaming 6. This is so heartbreaking 😭😭 7. The end of an era,"1. Inclined towards Peace
2. Inclined towards Ukraine
3. Inclined Towards Ukraine
4. Neutral Sentiment
5. Cannot infer sentiment towards war
6. Neutral Sentiment
7. Neutral Sentiment",,,
